sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,sw_10,sw_11,sw_12,sw_13,sw_14,sw_15,sw_16,loss
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,inf
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,inf
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,inf
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,inf
1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,inf
1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,inf
1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,inf
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,inf
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,inf
1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,inf
1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,inf
1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,inf
1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,inf
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,inf
1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,inf
1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,inf
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,inf
1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,inf
1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,inf
1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,inf
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,inf
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,inf
1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,inf
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,inf
1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,inf
1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,inf
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,inf
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,inf
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,inf
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,inf
1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,inf
1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,inf
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,inf
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,inf
1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,inf
1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,inf
1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,inf
1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,inf
1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,inf
1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,inf
1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,inf
1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,inf
1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,inf
1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,inf
1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,inf
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,inf
1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,inf
1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,inf
1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,inf
1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,inf
1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,inf
1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,inf
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,inf
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,inf
1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,inf
1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,inf
1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,inf
1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,inf
1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,inf
1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,inf
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,inf
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,inf
1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,inf
1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,inf
1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,inf
1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,inf
1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,inf
1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,inf
